date_in_year,deaths,total_deaths,html
0101,20,20,X
0102,23,43,X
0103,21,64,X
0104,28,92,X
0105,27,119,X
0106,19,138,X
0107,33,171,X
0108,17,188,X
0109,24,212,X
0110,27,239,X
0111,18,257,X
0112,19,276,X
0113,17,293,X
0114,16,309,X
0115,24,333,X
0116,18,351,X
0117,29,380,X
0118,22,402,X
0119,21,423,X
0120,20,443,X
0121,20,463,X
0122,30,493,X
0123,29,522,X
0124,21,543,X
0125,13,556,X
0126,21,577,X
0127,16,593,X
0128,21,614,X
0129,16,630,X
0130,21,651,X
0131,20,671,X
0201,19,690,X
0202,19,709,X
0203,19,728,X
0204,27,755,X
0205,10,765,X
0206,18,783,X
0207,8,791,X
0208,22,813,X
0209,17,830,X
0210,21,851,X
0211,24,875,X
0212,20,895,X
0213,18,913,X
0214,13,926,X
0215,24,950,X
0216,20,970,X
0217,21,991,X
0218,23,1014,X
0219,16,1030,X
0220,16,1046,X
0221,25,1071,X
0222,13,1084,X
0223,21,1105,X
0224,21,1126,X
0225,20,1146,X
0226,18,1164,X
0227,21,1185,X
0228,22,1207,X
0229,20,1227,X
0301,16,1243,X
0302,24,1267,X
0303,27,1294,X
0304,34,1328,X
0305,26,1354,X
0306,24,1378,X
0307,17,1395,X
0308,16,1411,X
0309,24,1435,X
0310,18,1453,X
0311,22,1475,X
0312,20,1495,X
0313,15,1510,X
0314,21,1531,X
0315,24,1555,X
0316,14,1569,X
0317,30,1599,X
0318,22,1621,X
0319,14,1635,X
0320,14,1649,X
0321,13,1662,X
0322,24,1686,X
0323,19,1705,X
0324,19,1724,X
0325,20,1744,X
0326,20,1764,X
0327,16,1780,X
0328,16,1796,X
0329,19,1815,X
0330,22,1837,X
0331,31,1868,X
0401,21,1889,X
0402,18,1907,X
0403,29,1936,X
0404,16,1952,X
0405,17,1969,X
0406,13,1982,X
0407,17,1999,X
0408,25,2024,X
0409,14,2038,X
0410,8,2046,X
0411,22,2068,X
0412,22,2090,X
0413,22,2112,X
0414,20,2132,X
0415,12,2144,X
0416,22,2166,X
0417,16,2182,X
0418,27,2209,X
0419,19,2228,X
0420,16,2244,X
0421,17,2261,X
0422,15,2276,X
0423,20,2296,X
0424,21,2317,X
0425,17,2334,X
0426,18,2352,X
0427,14,2366,X
0428,17,2383,X
0429,13,2396,X
0430,16,2412,X
0501,9,2421,X
0502,22,2443,X
0503,25,2468,X
0504,21,2489,X
0505,17,2506,X
0506,23,2529,X
0507,15,2544,X
0508,18,2562,X
0509,14,2576,X
0510,18,2594,X
0511,15,2609,X
0512,18,2627,X
0513,26,2653,X
0514,22,2675,X
0515,13,2688,X
0516,27,2715,X
0517,14,2729,X
0518,17,2746,X
0519,18,2764,X
0520,21,2785,X
0521,15,2800,X
0522,16,2816,X
0523,11,2827,X
0524,15,2842,X
0525,15,2857,X
0526,16,2873,X
0527,24,2897,X
0528,18,2915,X
0529,10,2925,X
0530,8,2933,X
0531,17,2950,X
0601,14,2964,X
0602,21,2985,X
0603,22,3007,X
0604,23,3030,X
0605,15,3045,X
0606,21,3066,X
0607,21,3087,X
0608,10,3097,X
0609,14,3111,X
0610,18,3129,X
0611,12,3141,X
0612,28,3169,X
0613,19,3188,X
0614,19,3207,X
0615,19,3226,X
0616,13,3239,X
0617,16,3255,X
0618,19,3274,X
0619,14,3288,X
0620,17,3305,X
0621,16,3321,X
0622,17,3338,X
0623,14,3352,X
0624,17,3369,X
0625,21,3390,X
0626,19,3409,X
0627,19,3428,X
0628,16,3444,X
0629,23,3467,X
0630,16,3483,X
0701,11,3494,X
0702,26,3520,X
0703,14,3534,X
0704,9,3543,X
0705,20,3563,X
0706,14,3577,X
0707,15,3592,X
0708,23,3615,X
0709,22,3637,X
0710,18,3655,X
0711,12,3667,X
0712,13,3680,X
0713,17,3697,X
0714,18,3715,X
0715,20,3735,X
0716,18,3753,X
0717,15,3768,X
0718,23,3791,X
0719,14,3805,X
0720,14,3819,X
0721,24,3843,X
0722,23,3866,X
0723,19,3885,X
0724,21,3906,X
0725,19,3925,X
0726,27,3952,X
0727,18,3970,X
0728,14,3984,X
0729,16,4000,X
0730,13,4013,X
0731,18,4031,X
0801,17,4048,X
0802,16,4064,X
0803,15,4079,X
0804,14,4093,X
0805,26,4119,X
0806,26,4145,X
0807,23,4168,X
0808,12,4180,X
0809,20,4200,X
0810,18,4218,X
0811,14,4232,X
0812,7,4239,X
0813,16,4255,X
0814,18,4273,X
0815,17,4290,X
0816,13,4303,X
0817,17,4320,X
0818,9,4329,X
0819,22,4351,X
0820,22,4373,X
0821,14,4387,X
0822,19,4406,X
0823,23,4429,X
0824,17,4446,X
0825,16,4462,X
0826,20,4482,X
0827,15,4497,X
0828,15,4512,X
0829,16,4528,X
0830,15,4543,X
0831,9,4552,X
0901,12,4564,X
0902,16,4580,X
0903,21,4601,X
0904,17,4618,X
0905,16,4634,X
0906,17,4651,X
0907,18,4669,X
0908,16,4685,X
0909,13,4698,X
0910,12,4710,X
0911,21,4731,X
0912,16,4747,X
0913,13,4760,X
0914,13,4773,X
0915,8,4781,X
0916,31,4812,X
0917,13,4825,X
0918,23,4848,X
0919,16,4864,X
0920,25,4889,X
0921,14,4903,X
0922,10,4913,X
0923,16,4929,X
0924,16,4945,X
0925,22,4967,X
0926,19,4986,X
0927,17,5003,X
0928,18,5021,X
0929,19,5040,X
0930,15,5055,X
1001,14,5069,X
1002,12,5081,X
1003,10,5091,X
1004,21,5112,X
1005,15,5127,X
1006,14,5141,X
1007,11,5152,X
1008,20,5172,X
1009,15,5187,X
1010,17,5204,X
1011,20,5224,X
1012,18,5242,X
1013,14,5256,X
1014,16,5272,X
1015,16,5288,X
1016,23,5311,X
1017,12,5323,X
1018,18,5341,X
1019,15,5356,X
1020,25,5381,X
1021,27,5408,X
1022,14,5422,X
1023,14,5436,X
1024,24,5460,X
1025,18,5478,X
1026,17,5495,X
1027,20,5515,X
1028,6,5521,X
1029,22,5543,X
1030,15,5558,X
1031,17,5575,X
1101,18,5593,X
1102,12,5605,X
1103,17,5622,X
1104,11,5633,X
1105,16,5649,X
1106,14,5663,X
1107,18,5681,X
1108,19,5700,X
1109,9,5709,X
1110,9,5718,X
1111,26,5744,X
1112,20,5764,X
1113,16,5780,X
1114,16,5796,X
1115,19,5815,X
1116,14,5829,X
1117,19,5848,X
1118,14,5862,X
1119,18,5880,X
1120,16,5896,X
1121,14,5910,X
1122,19,5929,X
1123,22,5951,X
1124,21,5972,X
1125,18,5990,X
1126,15,6005,X
1127,18,6023,X
1128,41,6064,X
1129,19,6083,X
1130,9,6092,X
1201,13,6105,X
1202,19,6124,X
1203,17,6141,X
1204,17,6158,X
1205,14,6172,X
1206,11,6183,X
1207,23,6206,X
1208,14,6220,X
1209,17,6237,X
1210,34,6271,X
1211,17,6288,X
1212,23,6311,X
1213,13,6324,X
1214,21,6345,X
1215,15,6360,X
1216,9,6369,X
1217,12,6381,X
1218,23,6404,X
1219,17,6421,X
1220,12,6433,X
1221,16,6449,X
1222,15,6464,X
1223,24,6488,X
1224,25,6513,X
1225,23,6536,X
1226,24,6560,X
1227,16,6576,X
1228,21,6597,X
1229,29,6626,X
1230,21,6647,X
1231,22,6669,X
